"team","name","logo"
"Atlanta Attack","Jeremy Goldman","atlantasiba.png"
"Calgary Charge","Vann Red","calgarysiba.png"
"Chicago Guardians","Terry Brooks","chicagosiba.png"
"Columbus Barons","Robby Arnold","columbussiba.png"
"Kansas City Koyotes","Kelley Avery","kansascitysiba.png"
"Miami Sunbirds","Jake Smith","miamisiba.png"
"Montreal Argonauts","Brittani Avery","montrealsiba.png"
"New Orleans Bears","James Kight","neworleanssiba.png"
"New York Metros","Leon Rose","newyorksiba.png"
"Philadelphia Silverbacks","Maurice Allen","philadelphiasiba.png"
"Seattle Sasquatch","Denny Davis","seattlesiba.png"
"Toronto Roar","Brooks Ward Jr.","torontosiba.png"
"Washington Eagles","Brian Hockin","washingtonsiba.png"
"Vancouver Rain","Jim Melichar","vancouversiba.png"
"Portland Rhinos","Cleevis Brownsbury (Craig Lee Brown)","portlandsiba.png"
"Oklahoma City Outlaws","Nate May","oklahomacitysiba.png"
"Indiana Express","Tom Lacher","indianasiba.png"
"Houston Stampede","Darryl Suber","houstonsiba.png"
"Phoenix Scorpions","Chill Will","phoenixsiba.png"
"New Jersey Hoops","Elijah Wallace","newjerseysiba.png"
"Los Angeles Mamba","Jerron Grace (Jron)","losangelessiba.png"